Date,Hour,Location,Vehicle_Count,Avg_Speed,Congestion_Level,Day,Day_Name,Day_of_Week,Month,Is_Weekend,Time_Period,Traffic_Category,Is_Peak_Hour
2026-01-01,0,Junction_A,259,51,High,1,Thursday,3,1,False,Night,High,True
2026-01-01,0,Junction_B,300,53,High,1,Thursday,3,1,False,Night,High,True
2026-01-01,0,Junction_C,100,42,Low,1,Thursday,3,1,False,Night,Low,False
2026-01-01,1,Junction_A,128,42,Low,1,Thursday,3,1,False,Night,Low,False
2026-01-01,1,Junction_B,238,57,High,1,Thursday,3,1,False,Night,High,True
2026-01-01,1,Junction_C,170,10,Medium,1,Thursday,3,1,False,Night,Medium,False
2026-01-01,2,Junction_A,189,25,Medium,1,Thursday,3,1,False,Night,Medium,False
2026-01-01,2,Junction_B,137,38,Low,1,Thursday,3,1,False,Night,Medium,False
2026-01-01,2,Junction_C,289,26,High,1,Thursday,3,1,False,Night,High,True
2026-01-01,3,Junction_A,121,17,Low,1,Thursday,3,1,False,Night,Low,False
2026-01-01,3,Junction_B,248,10,High,1,Thursday,3,1,False,Night,High,True
2026-01-01,3,Junction_C,202,54,Medium,1,Thursday,3,1,False,Night,Medium,False
2026-01-01,4,Junction_A,105,25,Low,1,Thursday,3,1,False,Night,Low,False
2026-01-01,4,Junction_B,107,29,Low,1,Thursday,3,1,False,Night,Low,False
2026-01-01,4,Junction_C,264,28,High,1,Thursday,3,1,False,Night,High,True
2026-01-01,5,Junction_A,92,55,Low,1,Thursday,3,1,False,Night,Low,False
2026-01-01,5,Junction_B,164,12,Medium,1,Thursday,3,1,False,Night,Medium,False
2026-01-01,5,Junction_C,189,13,Medium,1,Thursday,3,1,False,Night,Medium,False
2026-01-01,6,Junction_A,248,30,High,1,Thursday,3,1,False,Morning,High,True
2026-01-01,6,Junction_B,211,42,Medium,1,Thursday,3,1,False,Morning,Medium,False
2026-01-01,6,Junction_C,253,13,High,1,Thursday,3,1,False,Morning,High,True
2026-01-01,7,Junction_A,181,28,Medium,1,Thursday,3,1,False,Morning,Medium,False
2026-01-01,7,Junction_B,72,58,Low,1,Thursday,3,1,False,Morning,Low,False
2026-01-01,7,Junction_C,289,43,High,1,Thursday,3,1,False,Morning,High,True
2026-01-01,8,Junction_A,142,20,Medium,1,Thursday,3,1,False,Morning,Medium,False
2026-01-01,8,Junction_B,50,34,Low,1,Thursday,3,1,False,Morning,Low,False
2026-01-01,8,Junction_C,112,36,Low,1,Thursday,3,1,False,Morning,Low,False
2026-01-01,9,Junction_A,182,29,Medium,1,Thursday,3,1,False,Morning,Medium,False
2026-01-01,9,Junction_B,199,59,Medium,1,Thursday,3,1,False,Morning,Medium,False
2026-01-01,9,Junction_C,140,60,Low,1,Thursday,3,1,False,Morning,Medium,False
2026-01-01,10,Junction_A,82,18,Low,1,Thursday,3,1,False,Morning,Low,False
2026-01-01,10,Junction_B,177,58,Medium,1,Thursday,3,1,False,Morning,Medium,False
2026-01-01,10,Junction_C,122,32,Low,1,Thursday,3,1,False,Morning,Low,False
2026-01-01,11,Junction_A,291,58,High,1,Thursday,3,1,False,Morning,High,True
2026-01-01,11,Junction_B,111,43,Low,1,Thursday,3,1,False,Morning,Low,False
2026-01-01,11,Junction_C,282,21,High,1,Thursday,3,1,False,Morning,High,True
2026-01-01,12,Junction_A,226,11,High,1,Thursday,3,1,False,Afternoon,High,False
2026-01-01,12,Junction_B,128,22,Low,1,Thursday,3,1,False,Afternoon,Low,False
2026-01-01,12,Junction_C,199,20,Medium,1,Thursday,3,1,False,Afternoon,Medium,False
2026-01-01,13,Junction_A,77,52,Low,1,Thursday,3,1,False,Afternoon,Low,False
2026-01-01,13,Junction_B,103,37,Low,1,Thursday,3,1,False,Afternoon,Low,False
2026-01-01,13,Junction_C,234,12,High,1,Thursday,3,1,False,Afternoon,High,False
2026-01-01,14,Junction_A,133,25,Low,1,Thursday,3,1,False,Afternoon,Medium,False
2026-01-01,14,Junction_B,241,44,High,1,Thursday,3,1,False,Afternoon,High,True
2026-01-01,14,Junction_C,128,20,Low,1,Thursday,3,1,False,Afternoon,Low,False
2026-01-01,15,Junction_A,267,53,High,1,Thursday,3,1,False,Afternoon,High,True
2026-01-01,15,Junction_B,257,36,High,1,Thursday,3,1,False,Afternoon,High,True
2026-01-01,15,Junction_C,59,28,Low,1,Thursday,3,1,False,Afternoon,Low,False
2026-01-01,16,Junction_A,198,46,Medium,1,Thursday,3,1,False,Afternoon,Medium,False
2026-01-01,16,Junction_B,118,39,Low,1,Thursday,3,1,False,Afternoon,Low,False
2026-01-01,16,Junction_C,100,34,Low,1,Thursday,3,1,False,Afternoon,Low,False
2026-01-01,17,Junction_A,296,31,High,1,Thursday,3,1,False,Evening,High,True
2026-01-01,17,Junction_B,51,26,Low,1,Thursday,3,1,False,Evening,Low,False
2026-01-01,17,Junction_C,76,11,Low,1,Thursday,3,1,False,Evening,Low,False
2026-01-01,18,Junction_A,298,29,High,1,Thursday,3,1,False,Evening,High,True
2026-01-01,18,Junction_B,196,24,Medium,1,Thursday,3,1,False,Evening,Medium,False
2026-01-01,18,Junction_C,54,58,Low,1,Thursday,3,1,False,Evening,Low,False
2026-01-01,19,Junction_A,161,22,Medium,1,Thursday,3,1,False,Evening,Medium,False
2026-01-01,19,Junction_B,144,34,Medium,1,Thursday,3,1,False,Evening,Medium,False
2026-01-01,19,Junction_C,96,35,Low,1,Thursday,3,1,False,Evening,Low,False
2026-01-01,20,Junction_A,242,51,High,1,Thursday,3,1,False,Evening,High,True
2026-01-01,20,Junction_B,152,43,Medium,1,Thursday,3,1,False,Evening,Medium,False
2026-01-01,20,Junction_C,158,24,Medium,1,Thursday,3,1,False,Evening,Medium,False
2026-01-01,21,Junction_A,290,55,High,1,Thursday,3,1,False,Night,High,True
2026-01-01,21,Junction_B,224,17,High,1,Thursday,3,1,False,Night,High,False
2026-01-01,21,Junction_C,66,36,Low,1,Thursday,3,1,False,Night,Low,False
